Ratio,Age,Value
0,0,0.047619048
0,1,0.012048193
0,2,0.303571429
0,3,0.276595745
0,4,0.369565217
0,5,0.139534884
1,0,0.058823529
1,1,0.056338028
1,2,0.173076923
1,3,0.265306122
1,4,0.212765957
1,5,0.134615385
2,0,0
2,1,0.076923077
2,2,0.121212121
2,3,0.318181818
2,4,0.096774194
2,5,0.267857143
3,0,0
3,1,0.014285714
3,2,0.160714286
3,3,0.225
3,4,0.178571429
3,5,0.210526316
4,0,0
4,1,0
4,2,0.191489362
4,3,0.219512195
4,4,0.270833333
4,5,0.107692308
5,0,0
5,1,0
5,2,0.1
5,3,0.186046512
5,4,0.238095238
5,5,0.204081633
6,0,0
6,1,0.090909091
6,2,0.133333333
6,3,0.30952381
6,4,0.194444444
6,5,0.4
7,0,0
7,1,0.043478261
7,2,0.085714286
7,3,0.243589744
7,4,0.295081967
7,5,0.134831461
8,0,0
8,1,0.04
8,2,0.133333333
8,3,0.171428571
8,4,0.109375
8,5,0.113924051
9,0,0
9,1,0.015625
9,2,0.09375
9,3,0.106382979
9,4,0.175438596
9,5,0.206349206
10,0,0
10,1,0
10,2,0.057692308
10,3,0.184210526
10,4,0.1
10,5,0.081967213
11,0,0
11,1,0.029411765
11,2,0.040816327
11,3,0.153846154
11,4,0.294117647
11,5,0.26
12,0,0
12,1,0
12,2,0.15
12,3,0.266666667
12,4,0.178571429
12,5,0.205128205
13,0,0
13,1,0.007246377
13,2,0.116666667
13,3,0.083333333
13,4,0.164705882
13,5,0.186170213
