Ratio,Age,Value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0.016949153
0,5,0.016666667
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0.016949153
1,5,0.029411765
2,0,0
2,1,0
2,2,0
2,3,0.015151515
2,4,0
2,5,0.019607843
3,0,0
3,1,0
3,2,0.013513514
3,3,0.020408163
3,4,0.014925373
3,5,0
4,0,0.052631579
4,1,0
4,2,0.018867925
4,3,0.020833333
4,4,0.029411765
4,5,0.01754386
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0.020833333
6,0,0
6,1,0
6,2,0.022727273
6,3,0
6,4,0.022727273
6,5,0
7,0,0
7,1,0.011627907
7,2,0
7,3,0.04
7,4,0.016393443
7,5,0.010526316
8,0,0
8,1,0.011494253
8,2,0
8,3,0.012658228
8,4,0.014084507
8,5,0.010869565
9,0,0
9,1,0.016129032
9,2,0
9,3,0.020833333
9,4,0
9,5,0
10,0,0
10,1,0.027777778
10,2,0
10,3,0.023255814
10,4,0.015873016
10,5,0
11,0,0
11,1,0
11,2,0
11,3,0.023255814
11,4,0
11,5,0
12,0,0
12,1,0
12,2,0.038461538
12,3,0
12,4,0
12,5,0
13,0,0
13,1,0.007246377
13,2,0.008474576
13,3,0.019736842
13,4,0.02247191
13,5,0.005714286
