Ratio,Age,Value
0,0,0
0,1,0.0375
0,2,0.013888889
0,3,0.016949153
0,4,0.06779661
0,5,0.042553191
1,0,0
1,1,0.02739726
1,2,0.033333333
1,3,0.107142857
1,4,0.036363636
1,5,0.017241379
2,0,0
2,1,0.076923077
2,2,0.027777778
2,3,0.053571429
2,4,0.0625
2,5,0.014285714
3,0,0
3,1,0.014285714
3,2,0.06557377
3,3,0.020408163
3,4,0.03125
3,5,0.029850746
4,0,0
4,1,0
4,2,0.036363636
4,3,0.19047619
4,4,0.016666667
4,5,0.028571429
5,0,0
5,1,0.032786885
5,2,0.037735849
5,3,0.0625
5,4,0.083333333
5,5,0.072727273
6,0,0.0625
6,1,0
6,2,0
6,3,0.037735849
6,4,0.048780488
6,5,0.041666667
7,0,0.041666667
7,1,0.058823529
7,2,0.027027027
7,3,0.065934066
7,4,0
7,5,0.052083333
8,0,0
8,1,0.012987013
8,2,0
8,3,0.0375
8,4,0.044117647
8,5,0.035294118
9,0,0
9,1,0
9,2,0.029411765
9,3,0.04
9,4,0.015151515
9,5,0.04109589
10,0,0
10,1,0.02
10,2,0.018518519
10,3,0.097560976
10,4,0.018518519
10,5,0.03125
11,0,0
11,1,0
11,2,0.0625
11,3,0.022727273
11,4,0.023255814
11,5,0.032786885
12,0,0
12,1,0
12,2,0.045454545
12,3,0.027027027
12,4,0.064516129
12,5,0.02173913
13,0,0.02
13,1,0.02962963
13,2,0.030769231
13,3,0.036231884
13,4,0.042105263
13,5,0.02764977
