Ratio,Age,Value
0,0,
0,1,0.014084507
0,2,0.122807018
0,3,0.036363636
0,4,0.111111111
0,5,0.12962963
1,0,
1,1,0.03030303
1,2,0.085106383
1,3,0.111111111
1,4,0.111111111
1,5,0.060606061
2,0,
2,1,0.055555556
2,2,0.114285714
2,3,0.098360656
2,4,0.163636364
2,5,0.06
3,0,
3,1,0.079365079
3,2,0.056338028
3,3,0.063829787
3,4,0.114754098
3,5,0.014925373
4,0,
4,1,0.019607843
4,2,0.037735849
4,3,0.166666667
4,4,0.147540984
4,5,0.054545455
5,0,
5,1,0.022222222
5,2,0.041666667
5,3,0.039215686
5,4,0.104166667
5,5,0.065217391
6,0,
6,1,0
6,2,0.022727273
6,3,0.078947368
6,4,0.184210526
6,5,0.15
7,0,
7,1,0.011627907
7,2,0.014705882
7,3,0.083333333
7,4,0.033333333
7,5,0.090909091
8,0,
8,1,0
8,2,0.033333333
8,3,0.025641026
8,4,0.044117647
8,5,0.056818182
9,0,
9,1,0.016129032
9,2,0.020408163
9,3,0.042553191
9,4,0.056338028
9,5,0.055555556
10,0,
10,1,0
10,2,0.041666667
10,3,0.047619048
10,4,0.066666667
10,5,0.027777778
11,0,
11,1,0
11,2,0.083333333
11,3,0.073170732
11,4,0.058823529
11,5,0.058823529
12,0,
12,1,0
12,2,0.038461538
12,3,0.033333333
12,4,0.03125
12,5,0.065217391
13,0,
13,1,0
13,2,0.008474576
13,3,0.076923077
13,4,0.058479532
13,5,0.053892216
