Ratio,Age,Value
0,0,
0,1,0.090909091
0,2,0.123076923
0,3,0.224489796
0,4,0.215686275
0,5,0.113636364
1,0,
1,1,0.041666667
1,2,0.089285714
1,3,0.265306122
1,4,0.239130435
1,5,0.204081633
2,0,
2,1,0.12
2,2,0.106060606
2,3,0.134615385
2,4,0.114754098
2,5,0.245614035
3,0,
3,1,0.059701493
3,2,0.140350877
3,3,0.219512195
3,4,0.157894737
3,5,0.15
4,0,
4,1,0.02
4,2,0.096153846
4,3,0.388888889
4,4,0.150943396
4,5,0.090909091
5,0,
5,1,0.032786885
5,2,0.058823529
5,3,0.186046512
5,4,0.209302326
5,5,0.113207547
6,0,
6,1,0.090909091
6,2,0.03030303
6,3,0.170212766
6,4,0.075
6,5,0.166666667
7,0,
7,1,0.043478261
7,2,0.119402985
7,3,0.154761905
7,4,0.067567568
7,5,0.074468085
8,0,
8,1,0.04
8,2,0.046153846
8,3,0.136986301
8,4,0.126984127
8,5,0.113924051
9,0,
9,1,0.015384615
9,2,0.060606061
9,3,0.083333333
9,4,0.116666667
9,5,0.134328358
10,0,
10,1,0.02
10,2,0
10,3,0.071428571
10,4,0.1
10,5,0.137931034
11,0,
11,1,0
11,2,0.0625
11,3,0.046511628
11,4,0.157894737
11,5,0.105263158
12,0,
12,1,0.038461538
12,2,0.15
12,3,0.117647059
12,4,0.137931034
12,5,0.175
13,0,
13,1,0.02962963
13,2,0.046875
13,3,0.091603053
13,4,0.1
13,5,0.082524272
